contact_mongo_id,aspect_mongo_id
4d0916c4cc8cb40e9300000a,4d0916c2cc8cb40e93000004
4d0916c4cc8cb40e9300000a,4d0916c2cc8cb40e93000005
4d0916c5cc8cb40e9300000d,4d0916c4cc8cb40e93000008
4d09178fcc8cb4095000000f,4d0916c2cc8cb40e93000004
4d0929bccc8cb40950000022,4d0916c2cc8cb40e93000004
4d0959f5cc8cb40950000053,4d0916c2cc8cb40e93000004
4d0968cacc8cb430fa000027,4d0916c2cc8cb40e93000004
4d0968dacc8cb430fa00002a,4d0916c2cc8cb40e93000004
4d096903cc8cb430fa00002d,4d0916c2cc8cb40e93000004
4d096909cc8cb430fa000030,4d0916c2cc8cb40e93000005
4d09695bcc8cb430fa000034,4d0916c2cc8cb40e93000004
4d0969cbcc8cb430fa000038,4d0916c2cc8cb40e93000004
4d096a2acc8cb43313000003,4d0916c2cc8cb40e93000005
4d096a63cc8cb43313000006,4d0916c2cc8cb40e93000004
4d096a72cc8cb43313000009,4d0916c2cc8cb40e93000005
4d096af3cc8cb4331300000b,4d0916c2cc8cb40e93000004
4d096bbecc8cb43313000015,4d0916c2cc8cb40e93000005
